main_id,name,U,B,V,R,I,G,J,ra,dec,sp_type,sp_qual,otype
"* pi. Her",,6.28,4.61,3.18,2.22,1.49,2.5523,0.79,258.7618098475,36.809162316666665,"K3II",C,"V*"
"* gam02 Sgr","Alnasl",4.77,4.0,2.99,2.26,1.75,2.5653,1.257,271.45203374499994,-30.424089849444446,"K0+III",B,"PM*"
"* alf Cep","Alderamin",2.77,2.68,2.46,2.22,2.11,2.42827,2.15,319.6448846972256,62.5855744637194,"A8Vn",C,"PM*"
"* del Ori","Mintaka",0.96,2.02,2.41,2.32,2.54,,2.72,83.00166705557675,-0.29909510708333326,"O9.5IINwk",C,"SB*"
"* gam Per",,4.08,3.63,2.93,2.34,1.89,2.651,1.53,46.1991280875,53.50643575694444,"G9III+A2-III:",C,"EB*"
"* bet UMa","Merak",2.35,2.35,2.37,2.31,2.35,2.2605,2.35,165.46031890416668,56.38242608666667,"A1IVps",C,"PM*"
"* alf Lep","Arneb",3.02,2.77,2.57,2.35,2.14,2.3895,2.04,83.18256716166667,-17.82228927222222,"F0Ib",C,"V*"
"* omi Ori",,,6.458,4.721,,,3.52523,0.483,73.13317666869,14.25064208505,"M3SIII",C,"S*"
"* bet Hyi",,3.52,3.41,2.79,2.28,1.94,2.68073,1.72,6.4377931550222804,-77.25424611998604,"G0V",C,"PM*"
"* zet02 Sco",,,4.99,3.62,,,3.14521,1.363,253.645854299862,-42.36131583630056,"K3III",C,"PM*"
"* nu. Hya",,5.62,4.35,3.11,2.17,1.53,2.7943,1.06,162.40620310375002,-16.193648885833333,"K1.5IIIHdel-0.5",B,"PM*"
"V* R Hya",,7.26,6.58,4.97,2.27,-0.15,6.1792,-1.16,202.42825778083332,-23.28132629972222,"M6-9e",B,"Mi*"
"* sig CMa","Unurgunite",7.08,5.2,3.47,2.15,1.15,2.5825,0.51,105.42978243583333,-27.934830492777778,"K5Ib",C,"LP*"
"* eta Peg","Matar",4.38,3.81,2.95,2.31,1.83,2.72508,1.42,340.75053685395,30.221214713719995,"G8II+F0V",C,"SB*"
"* eta Oph","Sabik",2.56,2.47,2.42,2.39,2.38,,2.31,257.5945287106208,-15.724906641710527,"A2IV-V",C,"**"
"* eta CMa","Aludra",1.65,2.37,2.45,2.38,2.44,2.45041,2.57,111.02375950100142,-29.303105508471724,"B5Ia",C,"s*b"
"* bet Aqr","Sadalsuud",4.27,3.71,2.89,2.29,1.84,2.5614,1.57,322.8897154783333,-5.5711755572222215,"G0Ib",B,"*"
"* alf Aqr","Sadalmelik",4.65,3.9,2.94,2.27,1.76,2.5521,1.45,331.4459830479167,-0.31984910166666664,"G2Ib",B,"*"
"Cl Collinder  135",,,2.69,2.1,,,,,109.362,-37.044000000000004,,,"OpC"
"V* U Men",,,,,,,7.996,1.28,62.39824593872959,-81.85490238690139,"M3",D,"Mi*"
"* eta Cen",,1.3,2.12,2.31,2.41,2.59,2.2547,2.84,218.8767673375,-42.15782521722222,"B2Ve",C,"Be*"
"* sig Sco","Alniyat",2.32,3.02,2.89,1.69,1.58,2.92087,2.49,245.29714880583333,-25.592792076666665,"B1III+B1:V",C,"bC*"
"* del Cen",,1.51,2.39,2.52,2.48,2.62,2.50826,2.7,182.08957348875,-50.722427392777774,"B2Vne",C,"Be*"
"* iot01 Sco",,,3.492,2.992,,,2.7143,1.881,266.89617137458333,-40.12699704138889,"F2Ia",C,"s*y"
"* bet01 Cap","Dabih Major",4.14,3.87,3.08,2.53,2.03,2.83687,1.49,305.25277749238,-14.78140760208,"G9II:+B8p:Si:",D,"SB*"
"* eps Cen",,1.16,2.08,2.3,2.45,2.7,,2.82,204.97190723090242,-53.466391146088995,"B1III",C,"bC*"
"* gam UMa","Phecda",2.44,2.45,2.44,2.44,2.47,2.43628,2.4,178.45769715249997,53.69475972916666,"A0Ve+K2V",C,"Em*"
"* eps Leo",,4.23,3.79,2.98,2.36,1.93,2.6019,1.63,146.46280541833335,23.77425578722222,"G1IIIa",C,"V*"
"* alf UMa A",,,3.01,1.87,,,,,165.93195263333334,61.75103334166666,"G9III",B,"PM*"
"* del Dra","Altais",4.85,4.07,3.07,2.37,1.86,2.673,1.43,288.13875818541663,67.66154043916667,"G9III",B,"PM*"
"* del02 Gru",,7.38,5.68,4.11,2.38,0.79,2.8533,0.27,337.43930841291666,-43.749221329166666,"M4.5IIIa",C,"LP?"
"* del02 Gru",,7.38,5.68,4.11,2.38,0.79,2.8533,0.27,337.43930841291666,-43.749221329166666,"M4.5IIIa",C,"LP?"
"* gam Hya",,4.58,3.92,3.0,2.4,1.93,2.6159,1.53,199.73040494,-23.171514278055557,"G8IIIa",B,"SB*"
"* del02 Lyr",,7.62,5.97,4.3,2.52,0.89,2.92218,-0.05,283.6261806258333,36.89861481416666,"M4II",B,"LP*"
"* zet Oph",,1.73,2.58,2.56,2.46,2.5,2.4632,2.59,249.28974606041666,-10.56709151972222,"O9.2IVnn",C,"Be*"
